ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
4013.3,22.58,VesselSituation.landed,UNKNOWN,-0.048901,-74.710254,70.2,0.0,0.0,-21.73,90.32,0.01,70.2,-598435.4,0.0
4013.54,22.84,VesselSituation.landed,UNKNOWN,-0.048901,-74.710254,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.5,0.0
4013.8,23.1,VesselSituation.landed,UNKNOWN,-0.048901,-74.710254,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.4,0.0
4014.02,23.32,VesselSituation.landed,UNKNOWN,-0.048901,-74.710254,70.2,0.0,0.0,-21.73,90.32,0.01,70.2,-598435.4,0.0
4014.24,23.54,VesselSituation.landed,UNKNOWN,-0.0489,-74.710255,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.4,0.0
4014.42,23.72,VesselSituation.landed,UNKNOWN,-0.0489,-74.710255,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.5,0.0
4014.68,23.98,VesselSituation.landed,UNKNOWN,-0.0489,-74.710255,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.4,0.0
4014.88,24.18,VesselSituation.landed,UNKNOWN,-0.0489,-74.710255,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.5,0.0
4015.1,24.4,VesselSituation.landed,UNKNOWN,-0.0489,-74.710255,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.4,0.0
4015.32,24.62,VesselSituation.landed,UNKNOWN,-0.0489,-74.710255,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.5,0.0
4015.5,24.8,VesselSituation.landed,UNKNOWN,-0.0489,-74.710256,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.4,0.0
4015.74,25.04,VesselSituation.landed,UNKNOWN,-0.0489,-74.710256,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.5,0.0
4015.96,25.26,VesselSituation.landed,UNKNOWN,-0.0489,-74.710256,70.2,0.0,0.0,-21.73,90.31,0.01,70.2,-598435.4,0.0
4016.18,25.48,VesselSituation.landed,UNKNOWN,-0.0489,-74.710256,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.4,0.0
4016.44,25.74,VesselSituation.landed,UNKNOWN,-0.0489,-74.710256,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.4,0.0
4016.64,25.94,VesselSituation.landed,UNKNOWN,-0.0489,-74.710256,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.4,0.0
4016.86,26.16,VesselSituation.landed,UNKNOWN,-0.0489,-74.710257,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.5,0.0
4017.06,26.36,VesselSituation.landed,UNKNOWN,-0.0489,-74.710257,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.4,0.0
4017.3,26.6,VesselSituation.landed,UNKNOWN,-0.0489,-74.710257,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.5,0.0
4017.52,26.82,VesselSituation.landed,UNKNOWN,-0.0489,-74.710257,70.2,0.0,0.0,-21.73,90.29,0.01,70.2,-598435.5,0.0
4017.7,27.0,VesselSituation.landed,UNKNOWN,-0.0489,-74.710257,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.5,0.0
4017.96,27.26,VesselSituation.landed,UNKNOWN,-0.0489,-74.710257,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.5,0.0
4018.18,27.48,VesselSituation.landed,UNKNOWN,-0.0489,-74.710258,70.2,0.0,0.0,-21.73,90.3,0.01,70.2,-598435.5,0.0
4018.22,27.52,VesselSituation.landed,UNKNOWN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,70.2,-598435.5,0.0
4018.3,27.6,VesselSituation.landed,UNKNOWN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,70.2,-598435.5,0.0
